abbreviation,definition,comment,source
проф.,професійний,Скорочують також у заголовку запису, якщо не є першим словом заголовка,dstu
проф.,професор,При прізвищі,dstu
проф.-викл.,професорсько-викладацький,,dstu
псевд.,псевдонім,,dstu
публ.,публікація,,dstu
р-н,район,Скорочують також у заголовку запису,dstu
райдержадмін.,районна державна адміністрація,,dstu
райрада,районна рада,,dstu
ред.,редактор,При прізвищі,dstu
редкол.,редакційна колегія (редколегія),,dstu
ред.,редакція,,dstu
рез.,резюме,,dstu
рек.,рекомендація,,dstu
репр.,репринт,,dstu
репрод.,репродукція,,dstu
респ.,республіка,,dstu
ретросп.,ретроспективний,,dstu
реф.,реферат,,dstu
рец.,рецензія,,dstu
р.,рік,При цифрах,dstu
розд.,розділ,У значенні «частина»,dstu
розповсюдж.,розповсюдження,,dstu
розпорядж.,розпорядження,,dstu
розроб.,розробка,,dstu
ротапр.,ротапринт,,dstu
рукоп.,рукопис,,dstu
св.,святий,,dstu
секр.,секретар,При прізвищі,dstu
селищрада,селищна рада,,dstu
серп.,серпень,,dstu
симп.,симпозіум,Скорочують також у заголовку запису, якщо не є першим словом заголовка,dstu
сист.,систематичний,,dstu
сільрада,сільська рада,,dstu
сіл.,сільський,,dstu
с.-г.,сільськогосподарський,Скорочують також у заголовку запису, якщо не є першим словом заголовка,dstu
січ.,січень,,dstu
скор.,скорочення,,dstu
слов.,словник,,dstu
спец.,спеціальність,,dstu
специф.,специфікація,,dstu
ст.,станція,При назві,dstu
ст.,старший,,dstu
стат.,статистичний,,dstu
ст.,стаття,,dstu
стер.,стереотипний,,dstu
ст.,століття (сторіччя),При цифрах,dstu
с.,сторінка,Те саме,dstu
сусп-во,суспільство,,dstu
сх.,східний,,dstu
табл.,таблиця,,dstu
тит. арк.,титульний аркуш,,dstu
т-во,товариство,Скорочують також у заголовку запису, якщо не є першим словом заголовка,dstu
т.,том,При цифрах,dstu
торг.,торговельний,,dstu
трав.,травень,,dstu
трансп.,транспорт,,dstu
увед.,уведення,,dstu
введ.,введення,,dstu
увод.,уводиться,,dstu
ввод.,вводиться,,dstu
уклад.,укладач,При прізвищі,dstu
укр.,український,,dstu
ум. друк. арк.,умовний друкований аркуш,,dstu
ун-т,університет,Скорочують також у заголовку запису, якщо не є першим словом заголовка,dstu
унів.,університетський,,dstu
упоряд.,упорядкування,,dstu
упоряд.,упорядник,При прізвищі,dstu
упр.,управління,Скорочують також у заголовку запису, якщо не є першим словом заголовка,dstu
ф-ка,фабрика,Скорочують також у заголовку запису, якщо не є першим словом заголовка,dstu
ф-т,факультет,,dstu
філ.,філіал (філія),,dstu
філос.,філософський,,dstu
фот.,фотограф,При прізвищі,dstu
фот.,фотографія,,dstu
фрагм.,фрагмент,,dstu
фр.,французький,,dstu
хореогр.,хореографія,,dstu
худож.,художник,При прізвищі,dstu
ц.,ціна,При цифрах,dstu
часоп.,часопис,При цифрах,dstu
ч.,частина,Те саме,dstu
черв.,червень,,dstu
чл.-кор.,член-кореспондент,При прізвищі,dstu
шк.,школа,,dstu
щодекад.,щодекадний,В описі періодичних видань,dstu
щоден.,щоденний,Те саме,dstu
щокв.,щоквартальний,Те саме,dstu
щоміс.,щомісячний,Те саме,dstu
щоріч.,щорічний,Те саме,dstu
щотиж.,щотижневий,Те саме,dstu
ювіл.,ювілейний,,dstu
яп.,японський,,dstu
